	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
45	H203531	Indels	63726	859	0.01347958447101654	62867	0.9865204155289835
46	H203532	Indels	78606	1987	0.02527796860290563	76619	0.9747220313970943
47	H203533	Indels	94630	800	0.0084539786537039	93830	0.9915460213462961
48	H203534	Indels	78391	330	0.004209666926050184	78061	0.9957903330739498
49	H203535	Indels	71038	1295	0.018229679889636533	69743	0.9817703201103635
50	H203537	Indels	86614	4133	0.047717459071281776	82481	0.9522825409287182
51	H203539	Indels	182537	53793	0.2946964177125733	128744	0.7053035822874266
52	H203540	Indels	166316	2216	0.013324033767045865	164100	0.9866759662329542
53	H203541	Indels	88122	492	0.005583168788724722	87630	0.9944168312112753
54	H203542	Indels	110056	6272	0.05698916915025078	103784	0.9430108308497492
55	H203544	Indels	119423	5537	0.04636460313339976	113886	0.9536353968666003
0	H134753	SVs	126	33	0.2619047619047619	93	0.7380952380952381
1	H135022	SVs	1981	550	0.27763755678950025	1431	0.7223624432104997
2	H135387	SVs	629	134	0.21303656597774245	495	0.7869634340222575
3	H156407	SVs	326	50	0.15337423312883436	276	0.8466257668711656
4	H158273	SVs	524	251	0.47900763358778625	273	0.5209923664122137
5	H158878	SVs	140	11	0.07857142857142857	129	0.9214285714285714
6	H158880	SVs	427	144	0.3372365339578454	283	0.6627634660421545
7	H158918	SVs	714	2	0.0028011204481792717	712	0.9971988795518207
8	H159369	SVs	840	395	0.47023809523809523	445	0.5297619047619048
9	H135462	SVs	1461	716	0.49007529089664614	745	0.5099247091033539
10	H201536	SVs	9557	266	0.027833001988071572	9291	0.9721669980119284
11	H201537	SVs	6276	135	0.021510516252390057	6141	0.9784894837476099
12	H201538	SVs	7689	125	0.016256990505917543	7564	0.9837430094940824
13	H201539	SVs	9040	467	0.05165929203539823	8573	0.9483407079646018
14	H201540	SVs	8498	342	0.04024476347375853	8156	0.9597552365262415
15	H201542	SVs	2751	212	0.07706288622319157	2539	0.9229371137768084
16	H203495	SVs	1163	14	0.012037833190025795	1149	0.9879621668099742
17	H203498	SVs	1181	54	0.04572396274343776	1127	0.9542760372565622
